Numero catalogo,Nome,Tipo di oggetto,Costellazione,Coordinate (2000),Distanza,Magnitudine visuale,Dimensioni apparenti,Dimensioni reali,Descrizione
M80,NGC 6093,Ammasso globulare,Scorpione,"A.R. 16h 17,0min; Dec. −22° 59'",32.000 a.l.,"7,3",10',95 a.l.,"M 80 (anche noto come NGC 6093) è un ammasso globulare visibile nella parte settentrionale della costellazione dello Scorpione. Nel cielo ha una dimensione apparente di circa 10 minuti d'arco, ha una distanza stimata di 32.600 anni luce dalla Terra, un diametro di circa 95 anni luce e contiene diverse centinaia di migliaia di stelle. È tra gli ammassi globulari più densamente popolati della Via Lattea. M80 contiene un numero relativamente alto di stelle vagabonde blu, stelle che sembrano essere più giovani dell'ammasso stesso. Si pensa che queste stelle abbiano perso parte del loro strato esterno a causa di incontri ravvicinati con altri membri dell'ammasso, oppure sono il risultato di collisioni stellari all'interno del denso ammasso. Alcune immagini del Telescopio Spaziale Hubble hanno mostrato un'alta densità di stelle vagabonde blu, suggerendo che il centro dell'ammasso ha verosimilmente un alto tasso di collisioni stellari. Il 21 maggio 1860 in M80 è stata scoperta una nova che raggiunse una magnitudine apparente di +7.0. Quella nova, designata anche T Scorpii, raggiunse una magnitudine assoluta di -8.5 e per breve tempo superò in brillantezza l'intero ammasso. Essa fu inoltre utilizzata per confermare la distanza di M80."
M81,Galassia di Bode o Nebulosa di Bode NGC 3031,Galassia a spirale (tipo Sb),Orsa Maggiore,"A.R. 09h 55,6min; Dec. +69° 04",12.000.000 a.l.,"6,8",26' × 14',72.000 a.l.  ,"La Galassia di Bode, (nota anche come M 81 o NGC 3031) è una galassia a spirale situata a circa 12 milioni di anni luce dalla Terra, nella costellazione boreale dell'Orsa Maggiore.Si stima che M81 contenga approssimativamente 250 miliardi di stelle, è quindi leggermente più piccola della nostra Via Lattea. Questa e la vicina galassia irregolare M82 sono i membri più importanti del gruppo di galassie di M81, di cui la stessa M81 è il membro principale; sembra che le due galassie si siano incontrate qualche milione di anni fa, causando la deformazione di M82. Tuttora le due galassie sono separate da appena 200 000 anni luce. La sua distanza è ben nota ed è stata stimata in 12 milioni di anni luce, grazie alla scoperta di un gran numero di variabili Cefeidi, molte delle quali ad opera del Telescopio Spaziale Hubble, e grazie alla rideterminazione delle distanze cosmiche operata dal satellite Hipparcos. https://it.wikipedia.org/wiki/Galassia_di_Bode"
M82,Galassia Sigaro NGC 3034,Galassia peculiare di tipo Starburst,Orsa Maggiore,"A.R. 09h 55,8min; Dec. +69° 41'",12.000.000 a.l.,"9,3","11′,2 × 4′,3",30.000 a.l.,"La Galassia Sigaro (nota anche come M 82 o NGC 3034) è una galassia attiva nella costellazione dell'Orsa Maggiore; si trova a circa 12 milioni di anni luce ed è associata alla più grande e famosa M81. Si tratta di un ottimo esempio di galassia starburst.Si è per lungo tempo creduto che M82 fosse una galassia di forma irregolare; tuttavia, nel corso del 2005 sono stati scoperti due bracci di spirale simmetrici, ben visibili nelle immagini all'infrarosso della galassia. Questi bracci si originano dalle estremità di una barra centrale, visibile sempre agli infrarossi; sebbene questi bracci siano visibili agli infrarossi, il loro colore naturale è maggiormente blu rispetto al disco, a causa della presenza di molte stelle giovani. Assumendo che la parte settentrionale della galassia sia più vicina a noi, come si spiega in letteratura, il senso di rotazione osservato implica la presenza di bracci trainanti. A causa dell'elevata luminosità superficiale del disco, posto quasi di taglio rispetto alla nostra linea di vista (circa 80°) e della presenza di una complessa rete di filamenti oscuri di polveri visibili nelle immagini ottiche, i bracci di spirale non sono stati mai osservati in precedenza."
M83,Galassia Girandola del Sud NGC 5236,Galassia spirale (tipo SABc),Idra,"A.R. 13h 37,0min; Dec. −29° 52'",15.000.000 a.l.,"8,2","12′,9 × 11′,5",50.000 a.l.,"La cosiddetta Galassia Girandola del Sud (nota anche come M83 o NGC 5236) è una galassia a spirale intermedia visibile nella costellazione dell'Idra e distante circa 15 milioni di anni luce. È una delle galassie a spirale più vicine e luminose nel cielo, ed è individuabile anche con un binocolo. Il suo nome ""Galassia Girandola"" è dovuto ai suoi bracci a spirale.M83 appare vista quasi perfettamente di faccia, pertanto è ben studiata e le sue strutture dei bracci sono ben conosciute; la sua distanza è stimata sui 15 milioni di anni luce appena, diventando così una delle galassie più vicine a noi. Il suo moto nello spazio tuttavia la fa allontanare da noi alla velocità di 337 km/s. Gran parte delle stelle di M83 sono giovani e sono disposte sulle spirali, rendendole così molto luminose e dal caratteristico colore azzurro; le stelle centrali sono invece più vecchie e appaiono di colore giallo o rossastro. M83 è ben nota anche per il gran numero di Supernovae osservate, ben sei."
M84,NGC 4374,Galassia lenticolare (tipo E1 o S0),Vergine,"A.R. 12h 25,1min; Dec. +12° 53'",60.000.000 a.l.,10.1,"6',5 x  5',6",125.000 a.l.,"M 84 (nota anche come NGC 4374) è una galassia lenticolare visibile nella costellazione della Vergine; fu scoperta da Charles Messier nel 1781 e appartiene all'Ammasso della Vergine. M84 e si trova estremamente vicina al centro dell'Ammasso della Vergine, alla distanza di circa 60 milioni di anni luce da noi; secondo la sequenza di Hubble M84 è di classe S0, ossia una galassia lenticolare, peraltro vista di faccia, a metà via fra le spirali e le ellittiche. Nel 1957 è stato scoperto che emette onde radio e mostra due piccoli getti che fuoriescono dalle regioni centrali, visibili appunto alla lunghezza d'onda delle onde radio; la sua massa è stimata sui 500 miliardi di masse solari e il suo diametro è stimato essere di 125000 anni luce. La galassia possiede un gran numero di ammassi globulari. Nel 1957 è stata osservata al suo interno una supernova, catalogata come SN 1957, che raggiunse la magnitudine 12,2;anni dopo ne fu osservata un'altra, catalogata come SN 1980I, in una posizione apparentemente esterna alla galassia, fra questa e M86, che raggiunse la magnitudine 14.Nel 1991 se ne osservò una terza (SN 1991bg), sempre di quattordicesima grandezza. Osservazioni radio del Telescopio Spaziale Hubble hanno rivelato che due getti di materia vengono lanciati dall'esterno della galassia verso il centro indicando la presenza di un grande buco nero di circa 300 milioni di masse solari."
M85,NGC 4382,Galassia lenticolare (tipo S0),Chioma di Berenice,"A.R. 12h 25,4min; Dec. +18° 11'",60.000.000 a.l.,10,"7,1' x 5,5'",115.000 a.l.,"M 85 (nota anche come NGC 4382) è una galassia lenticolare visibile nella costellazione della Chioma di Berenice; fu scoperta da Pierre Méchain nel 1781. È l'elemento più settentrionale dell'Ammasso della Vergine. M85 è una galassia di forma ellittica molto schiacciata o lenticolare, senza traccia di strutture a spirale; come parte dell'Ammasso della Vergine, la sua distanza è pari a circa 60 milioni di anni luce. La sua massa è di 400 miliardi di masse solari e la sua magnitudine assoluta è stata stimata di -21,9; il diametro sarebbe invece di 115.000 anni luce, dunque leggermente più grande della nostra Via Lattea. Si allontana da noi alla velocità di 729 km/s. Il 20 dicembre 1960 fu scoperta una Supernova del tipo Ia, catalogata come 1960R, che raggiunse la magnitudine apparente di 11.7. M85 è in interazione con la galassia spirale NGC 4394 e la piccola galassia ellittica catalogata come MCG 3-32-38"
M86,NCG 4406,Galassia lenticolare (tipo S0),Vergine,"A.R. 12h 26,2min; Dec. +12° 57'",52.000.000 a.l.,"9,8","8,9' x 5,8'",120.000 a.l.,"M 86 (nota anche come NGC 4406) è una galassia lenticolare visibile nella costellazione della Vergine; fu scoperta da Charles Messier nel 1781 e appartiene all'Ammasso della Vergine. Fa coppia con la vicina galassia M84, con cui condivide pure l'aspetto e parte delle caratteristiche fisiche. La distanza di questa galassia è stata in dubbio per lungo tempo, dato che mostra una velocità radiale in avvicinamento a noi di 419 km/s, in forte contrasto con quello medio dell'Ammasso della Vergine, che è in via di allontanamento: si è infatti sospettato che si trattasse di un membro fuoriuscito dall'ammasso e visibile dunque in primo piano; il suo moto nello spazio la sta portando esattamente nella nostra direzione. Probabilmente ciò è dovuto alla forte azione gravitazionale dello stesso ammasso di galassie, che le avrebbe conferito una direzione anomala a seguito di un transito ravvicinato presso il suo centro.[5] Secondo la sequenza di Hubble si tratta di una galassia ellittica o probabilmente lenticolare, esattamente come la vicina M84, con la quale condivide pure la caratteristica di possedere un gran numero di ammassi globulari."
M87,Virgo A NGC 4486,Galassia ellittica (tipo E1),Vergine,"A.R. 12h 30,8min; Dec. +12° 24",52.000.000 a.l.,"9,6","8,3′ × 6,6′",120.000 a.l.,"Virgo A (nota anche come M 87 o NGC 4486) è una galassia ellittica gigante visibile nella costellazione della Vergine; fu scoperta da Charles Messier nel 1781 e domina l'Ammasso della Vergine, essendo una delle galassie più grandi conosciute. La sua relativa vicinanza alla Terra ne fa uno degli obiettivi privilegiati per la ricerca astronomica, in particolare per lo studio dei fenomeni altamente energetici in opera nel suo nucleo, che ospita un buco nero supermassiccio (il buco nero M87) della massa di 6,6 miliardi di volte superiore a quella del Sole. M87 si trova nelle regioni più centrali dell'Ammasso della Vergine ed è probabilmente la galassia più estesa di questo ammasso di galassie. Nella banda della luce visibile è visibile solo come una macchia estesa e lattiginosa con un nucleo molto piccolo; tuttavia nel suo centro è presente una potente radiosorgente nota come Virgo A o 3C 274. La sua massa è pari ad almeno mille miliardi di masse solari.M87 possiede un numero molto alto di ammassi globulari, stimato tra 13.000 e 15.000 (per confronto, la Via Lattea possiede tra 150 e 200 ammassi globulari). È probabilmente il numero di ammassi globulari più alto conosciuto per una galassia. Il grande numero di ammassi ha aiutato gli astronomi a valutare la distanza della galassia (circa 60 milioni di anni luce), studiandone la distribuzione in luminosità. Nel 1918 l'astronomo Heber Curtis del Lick Observatory scoprì un getto di materia emergente da M87, che descrisse come ""uno strano raggio diritto"". Il getto si estende per almeno 5000 anni luce dal nucleo di M87 ed è composto da materia espulsa dalla galassia, molto probabilmente da un buco nero. L'ipotesi è stata rafforzata dalla scoperta di un disco di gas in rapida rotazione attorno al nucleo della galassia. Tale buco nero dovrebbe avere una massa di circa 3 miliardi di masse solari. M87 è inoltre sorgente di onde radio, raggi X e raggi gamma. La sua vicinanza l'ha resa una delle radiogalassie più studiate. Il getto che vediamo che si origina dal centro è solo la parte rivolta verso la nostra direzione di un doppio getto, la cui controparte è situata dall'altra parte della galassia ed è quindi invisibile a noi. https://it.wikipedia.org/wiki/Galassia_Virgo_A"
M88,NGC 4501,Galassia spirale (Tipo Sc),Chioma di Berenice,"A.R. 12h 32,0min; Dec. +14° 25'",50.000.000 a.l.,"10,4",6′.9 × 3′.7,130.000 a.l.,"M 88 (nota anche come NGC 4501) è una galassia a spirale visibile nella costellazione della Chioma di Berenice; fu scoperta da Charles Messier nel 1781. Fa parte dell'Ammasso della Vergine. M88 appartiene all'Ammasso della Vergine; la sua inclinazione rispetto alla nostra linea di vista è di circa 30°, sufficiente perché siano visibili le strutture dei bracci di spirale, che appaiono ben marcati; le sue dimensioni sono pari a 130.000 anni luce, dunque superiori a quelle della Via Lattea, così come la sua massa, stimata in circa 200 miliardi di masse solari. La distanza sarebbe di circa 50 milioni di anni luce. Secondo le stime sulla sua velocità radiale la galassia retrocede da noi alla velocità di 2.285 km/s; nel maggio del 1999 è stata osservata una supernova classificata come SN 1999cl, che raggiunse una magnitudine apparente pari a 13,6"
M89,NGC 4552,Galassia ellittica (tipo E0),Vergine,"A.R. 12h 35,7min; Dec. +12° 33'",50.000.000 a.l.,"10,7",5′.1 × 4′.7,65.000 a.l.,"M 89 (anche chiamata NGC 4552) è una galassia ellittica visibile nella costellazione della Vergine; fu scoperta da Charles Messier il 18 marzo 1781. M89 fa parte dell'Ammasso della Vergine. Osservazioni condotte negli anni novanta mostrano come M89 sia quasi perfettamente sferica nella sua forma: ciò non è usuale per le galassie ellittiche, che sono tutte ellissoidi allungati; è possibile che la galassia sia orientata in modo da apparire sferica ad un osservatore sulla Terra ma sia in realtà ellittica. La galassia inoltre è circondata da una struttura formata da gas o polveri che si estende fino a 150.000 anni luce dalla galassia. Sono anche presenti getti di particelle che arrivano fino ad una distanza di 100.000 anni luce, segno che la galassia poteva essere in origine un quasar o una radiogalassia. M89 contiene inoltre un'estesa popolazione di ammassi globulari, se comparata con la Via Lattea: infatti, mentre la nostra Galassia ne possiede circa 150-200, M89 ne avrebbe, secondo uno studio condotto nel 2006, circa 2000 ± 700, compresi entro 10' dal suo nucleo."
M90,NGC 4569,Galassia a spirale (tipo Sb),Vergine,"A.R. 12h 36,8min; Dec. +13° 10'",60.000.000 a.l.,"9,3","9,5'x4,5'",150.000 a.l.,"M 90 (nota anche come NGC 4569) è una galassia a spirale visibile nella costellazione della Vergine; è una delle otto galassie trovate e catalogate da Charles Messier il 18 marzo 1781 nella regione Chioma-Vergine, assieme all'ammasso globulare M92 dell'Ercole. M90 è una delle galassie a spirale più grandi (9,5x4,5') dell'Ammasso della Vergine. Ha bracci a spirale, molto stretti e uniformemente brillanti, che sembrano completamente ""fossilizzati"", nel senso che non sembra esserci formazione di stelle in corso, con la sola eccezione della regione interna del disco, vicino ad alcune linee scure di polvere. Probabilmente il suo mezzo interstellare è stato in gran parte strappato via dalle intense forze mareali presenti all'interno dell'ammasso in cui si trova; altre teoria affermano che sia stato spazzato via da esplosioni multiple di supernovae avvenute nella regione del nucleo, dove la formazione stellare è ancora attiva. La sua distanza è approssimativamente 60 milioni di anni luce ed ha una magnitudine apparente di 9,3. Dal momento che si avvicina a noi a una velocità di 383 km/s, si deve muovere a una velocità particolarmente elevata, vicina a 1.500 km/s, attraverso l'Ammasso della Vergine nella nostra direzione, ed è possibile che sia sul punto di fuggire dall'ammasso; secondo alcune fonti avrebbe già lasciato l'ammasso e adesso sarebbe molto più vicina a noi. Solo un'altra galassia di Messier, M86, ha una velocità di avvicinamento più rapida."
M91,NGC 4548,Galassia spirale barrata (tipo SBb),Chioma di Berenice,"A.R. 12h 35,4min; Dec. +14° 30'",63.000.000 a.l.,11,"5,4' × 4,4'",80.000 a.l.,"M 91 (nota anche come NGC 4548) è una galassia a spirale barrata visibile nella costellazione della Chioma di Berenice; fu scoperta da Charles Messier nel 1781 e poi riscoperta da William Herschel tre anni dopo. Fa parte dell'Ammasso della Vergine.M91 possiede un diametro pari a circa 80.000 anni luce, dunque sarebbe più piccola della nostra Via Lattea; anche la sua massa, pari a 90 miliardi di masse solari, è inferiore. La classificazione secondo la sequenza di Hubble è SBb, ossia una galassia spirale barrata di tipo intermedio; la sua distanza è stimata sui 63 milioni di anni luce. La sua velocità radiale è di 400 km/s in recessione: ciò vuol dire che, rispetto all'ammasso della Vergine, M91 ha un considerevole moto di avvicinamento rispetto a noi (700 km/s). La velocità di recessione rispetto a noi dell'ammasso della Vergine, infatti, è di circa 1100 km/s. Nei suoi bracci di spirale non sono mai state osservate supernovae."
M92,NGC 6341,Ammasso globulare,Ercole,"A.R. 17h 17,1min; Dec. +43° 08'",26.000 a.l.,"6,3","11,2'",84 a.l.,"M 92 (noto anche come NGC 6341) è un ammasso globulare visibile nella costellazione di Ercole; è fra gli ammassi globulari più settentrionali del cielo.M92 si trova a 26.000 anni luce dal sistema solare ed è quindi un po' più lontano del suo vicino M13. La concentrazione di stelle al centro dell'ammasso è notevole e la sua estensione angolare di 11.2' corrisponde ad un diametro effettivo di 85 anni luce. Al suo interno sono state scoperte soltanto 16 variabili, 14 delle quali sono del tipo RR Lyrae. La massa di M92 è di circa 300.000 masse solari, quindi abbastanza elevata.; si avvicina a noi a una velocità di 110 km/s. La percentuale di metalli molto scarsa nella composizione delle stelle dell'ammasso suggerisce un'età elevata per l'ammasso. Le stime basate sul colore delle stelle indicano un'età di 13 miliardi di anni; è quindi uno dei più antichi ammassi globulari conosciuti."
M93,NGC 2447,Ammasso aperto,Poppa,"A.R. 07h 44,6min; Dec. −23° 52'",3600 a.l.,6,22',22 a.l.,"M 93 (conosciuto anche come Messier 93 o NGC 2447) è un ammasso aperto visibile nella costellazione della Poppa. È uno degli oggetti più meridionali catalogati dal Messier ed è di facile osservazione. M93 è a una distanza di circa 3.600 anni luce dalla Terra, dunque sul bordo esterno del nostro braccio di spirale, il Braccio di Orione, mentre il suo raggio è stimato essere compreso tra 10 e 12 anni luce (dunque un diametro di circa 22 anni luce); la sua età è stimata in circa 100 milioni di anni. Le stelle più brillanti di M93 sono giganti blu del tipo B9, di magnitudine apparente 8,20. L'indice di colore B-V dell'ammasso è di 0,37, con un assorbimento di quasi 0,2 magnitudini, dovuto principalmente all'assorbimento da parte della polvere interstellare."
M94,NGC 4736,Galassia spirale (tipo Sab),Cani da caccia,"A.R. 12h 50,9min; Dec. +41° 07'",16.000.000 a.l.,9,11′.2 × 9′.1,45.000 a.l.,"M 94 (conosciuto anche come NGC 4736) è una galassia a spirale visibile nella costellazione dei Cani da Caccia; fu scoperta da Pierre Méchain nel 1781 e catalogata da Charles Messier due giorni dopo. Dalle osservazioni si può notare un anello di attive regioni di formazione stellare, marcate dalle giovani stelle azzurre nelle immagini a colori, che la dividono bruscamente dal molto meno brillante anello esterno, il quale è formato da una popolazione stellare giallastra molto più vecchia; nelle aree periferiche, tuttavia, queste regioni terminano nuovamente in un altro anello di moderata attività di formazione stellare, così M94 appare come una delle relativamente rare galassie in cui possono essere osservate due ""onde"" di formazione stellare. Nelle lunghissime esposizioni diviene visibile un ulteriore debolissimo anello. La galassia è classificata come spirale semplice (Sab) ed è vista quasi perfettamente di faccia; la sua distanza non è ben nota, dato che esistono valori compresi fra i 14 e i 30 milioni di anni luce. Le ultime stime forniscono un valore di 16 milioni di anni luce. M94 si allontana da noi alla velocità di 370 km/s. "
M95,NGC 3351,Galassia spirale barrata (tipo SBb),Leone,"A.R. 10h 44,0min; Dec. +11° 42'",32.600.000 a.l.,"9,7","7′,4 × 5′,1",55.000 a.l.,"M 95 (conosciuta anche come NGC 3351) è una galassia a spirale barrata visibile nella costellazione del Leone; fa parte di un gruppo di galassie situate proprio al centro della costellazione del Leone, detto Leo I. Fu scoperta, insieme a M96, da Pierre Méchain, il 20 marzo 1781. M95 è una delle galassie più studiate dal telescopio spaziale Hubble al fine di determinare la costante di Hubble, studiandone le variabili Cefeidi allo scopo di determinarne la distanza; i risultati, che furono poi corretti tramite l'ausilio del telescopio Hipparcos, indicano una distanza di 32,6 milioni di anni luce con uno scarto di 1,4 milioni di anni luce. Questa galassia mostra una notevole attività nelle sue regioni centrali, in particolare in un anello del diametro di circa 600 parsec attorno al centro, composto probabilmente di gas diffuso non uniforme. Le emissioni di raggi X provengono da numerose fonti, che sono concentrate in regioni di gas caldo, la morfologia dell'emissione può spiegarsi se si sta presentando una serie di starbursts istantanei situati in diverse zone dell'anello. L'estensione dei raggi X va almeno 500 parsec oltre l'anello, che può essere interpretato come un'uscita di gas al di là dello stesso. Ha una velocità di allontanamento (redshift) di 600 km/s."
M96,NGC 3368,Galassia spirale (tipo Sa),Leone,"A.R. 10h 46,8min; Dec. +11° 49'",31.300.000 a.l.,"9,24","7′,6 × 5′,2",65.000 a.l.,"M 96 (conosciuta anche come NGC 3368) è una galassia a spirale intermedia visibile nella costellazione del Leone; fa parte di un gruppo di galassie situate proprio al centro della costellazione del Leone, detto Leo I. Fu scoperta, insieme a M95, da Pierre Méchain, il 20 marzo 1781. M96 è una galassia spirale posta alla distanza di 31,3 milioni di anni luce; a questa distanza, le sue regioni centrali più luminose possiedono una dimensione reale di oltre 65000 anni luce, le quali però sono circondate da una struttura ad anello relativamente debole, esteso per oltre 100000 anni luce: questa struttura possiede un gran numero di stelle giovani e blu molto luminose, che le conferiscono il caratteristico colore azzurrino. Questa regione è sede di importanti fenomeni di formazione stellare; le regioni centrali sono invece composte da stelle più vecchie e il colore dominante è il giallo. La massa della galassia è stata stimata essere di 160 miliardi di masse solari; l'inclinazione sulla nostra linea di vista del suo piano galattico è di 35°. Nel 1998 è stata osservata una supernova che raggiunse la magnitudine apparente 11,8."
M97,Nebulosa Gufo Nebulosa Civetta NGC 3587,Nebulosa planetaria,Orsa Maggiore,"A.R. 11h 14,8min; Dec. +55° 01'",2.600 a.l.,"9,9","3,4' x 3,3'",3 a.l.,"La nebulosa Civetta (nota anche come Nebulosa Gufo o con le sigle M 97 o NGC 3587) è una nebulosa planetaria visibile nella costellazione dell'Orsa Maggiore; è stata scoperta da Pierre Méchain nel 1781. Il nome ""Nebulosa Gufo"" è stato invece assegnato da William Parsons nel 1848 a causa delle due macchie scure, che assomigliano agli occhi di un gufo. M97 è una delle nebulose planetarie più complesse. Il suo aspetto è stato interpretato come una sfera senza poli, con gli occhi del gufo in corrispondenza delle zone povere di materia ai poli. La sua età è stimata in 6.000 anni. M97 è una delle più grandi nebulose planetarie conosciute, in termini assoluti: si estende per un diametro di quasi 3 anni luce e la sua magnitudine apparente è pari a 9,9; la stella centrale invece è una nana bianca estremamente calda, di quattordicesima magnitudine, la cui temperatura superficiale si aggira sugli 85.000 kelvin e la sua massa sarebbe pari a 0,7 masse solari. La distanza dell'oggetto è stata a lungo oggetto di dibattito: le stime variavano da un minimo di 1600 anni luce fino ad un massimo di ben 12.000, il che l'avrebbe posta ben oltre il bordo del piano galattico; oggi si tende ad accettare un valore di 2600 anni luce. La massa totale della nebulosa è di 0,15 masse solari e la sua densità è estremamente bassa, circa un decimo di quella media delle altre planetarie; ciò sarebbe indice dell'elevata età della nebulosa, dato che col tempo si è notevolmente espansa e i suoi gas si sono rarefatti. L'età sarebbe dunque sui 6000 anni.Il suo aspetto particolare sarebbe invece dovuto alla sua forma a toro o a cilindro torico, visto da una prospettiva obliqua."
M98,NGC 4192,galassia spirale (tipo Sb),Chioma di Berenice,"A.R. 12h 13,8min; Dec. +14° 54'",55.000.000 a.l.,11,"9′,8 × 2′,8",150.000 a.l.,"M 98 (nota anche come NGC 4192) è una galassia a spirale visibile nella costellazione della Chioma di Berenice; fu scoperta da Pierre Méchain nel 1781. Fa parte dell'Ammasso della Vergine. Questa galassia fu per lungo tempo creduta come non appartenente all'Ammasso della Vergine, a causa della sua velocità radiale, che la indicava in avvicinamento di 125 km/s; tuttavia in uno studio condotto negli anni novanta viene avanzata l'ipotesi che appartenga allo stesso sottogruppo di M99, che appartiene all'Ammasso della Vergine, alla distanza di circa 55 milioni di anni luce. La massa della galassia sarebbe pari a 170 miliardi di masse solari e il suo diametro sarebbe di 150.000 anni luce, dunque la galassia sarebbe più grande della nostra Via Lattea. La sua magnitudine assoluta è pari a -21,7."
M99,NGC 4254,Galassia spirale (tipo Sc),Chioma di Berenice,"A.R. 12h 18,8min; Dec. +14° 25'",55.000.000 a.l.,"10,4","5′,4 × 4′,7",87.000 a.l.,"M 99 (altrimenti conosciuta come NGC 4254) è una galassia a spirale visibile nella costellazione della Chioma di Berenice; dista approssimativamente 60 milioni di anni luce e fa parte dell'Ammasso della Vergine. M99 è una delle galassie più brillanti dell'Ammasso della Vergine; possiede dei bracci ben sviluppati orientati in senso orario, sebbene siano asimmetrici forse a causa di un'interazione con un'altra galassia, forse la vicina M98. Un altro indizio che possa essere stata disturbata deriva dalla sua velocità radiale: infatti la galassia sembra recedere rispetto a noi alla velocità di 2.407 km/s, che equivale ad un movimento di 1.200 km/s rispetto al centro dell'ammasso di cui fa parte, la più alta fra tutte le galassie osservate dal Messier. Il diametro della galassia è di 87.000 anni luce e la sua massa sarebbe pari a circa 130 miliardi di masse solari; nei suoi bracci sono state osservate tre supernovae, catalogate come SN 1967H, che raggiunse la magnitudine 14, SN 1972Q di tipo II, che raggiunse la magnitudine 15,6, e SN 1986I, di tipo Ia, di magnitudine 14."
M100,NGC 4321,Galassia spirale (tipo Sc),Chioma di Berenice,"A.R. 12h 22,9min; Dec. +15° 49'",55.000.000 a.l.,"10,1","7′,4 × 6′,3",120.000 a.l.,"M 100 (nota anche come NGC 4321) è una galassia a spirale che si trova in direzione della costellazione della Chioma di Berenice, alla distanza di 55 milioni di anni luce da noi. M100 ha due grandi bracci costituiti da stelle più brillanti, e molte altre più deboli; in questi bracci sono state osservate ben cinque supernovae. M100 è uno dei membri più importanti dell'ammasso di galassie della Vergine che si estende fino alla costellazione della Chioma di Berenice, della quale fa parte; la massa di M100 è di 160 miliardi di masse solari, mentre la sua magnitudine assoluta è pari a -21.8. Il suo diametro reale è di 120000 anni luce, dunque di poco superiore rispetto a quello della Via Lattea; la galassia si allontana da noi a 720 km/s, M100 ha invece una velocità di recessione di 1500 km/s."
M101,Galassia Girandola NGC 5457,Galassia spirale (tipo Sc),Orsa Maggiore,"A.R. 14h 03,2min; Dec. +54° 21",19.000.000 a.l.,"8,3",28′.8 × 26′.9,170.000 a.l.,"La Galassia Girandola (nota anche come M 101, o NGC 5457) è una galassia a spirale nella costellazione dell'Orsa Maggiore. La galassia fu scoperta nel 1781 da Charles Messier e da Pierre Méchain. William Herschel fu il primo a osservare delle piccole macchie (che in realtà erano dei frammenti dei bracci a spirale) circondare la galassia.M101 è una galassia di notevole estensione se comparata con la Via Lattea; secondo diversi studi la sua massa sarebbe di circa 16 miliardi di masse solari, ma sembrerebbe essere un valore troppo basso, forse dovuto alla bassa luminosità superficiale della galassia; secondo le nuove scoperte, che comprendono l'individuazione di regioni H II e una forte velocità di rotazione, la massa di M101 sarebbe compresa fra 100 e 1000 miliardi di masse solari. Un'altra proprietà particolare di questa galassia è la presenza di vaste e luminosissime regioni H II, che nelle fotografie raggiunge il numero di 3000 unità; queste regioni, in cui ha luogo la formazione stellare, contengono un gran numero di stelle giovani e calde, di colore blu. Da un lato la galassia presenta un'asimmetria; si crede che si sia formata in tempi astronomicamente recenti a causa dell'interazione con un'altra galassia, che ne ha deformato i bracci a causa delle potenti forze mareali. Inoltre, questo incontro ha amplificato le onde di densità del bracci della galassia, che ha causato a sua volta la compressione del mezzo interstellare con conseguente aumento dell'attività di formazione stellare."
M102,Error NGC404 Galaxy Not Found,Sconosciuto,Sconosciuto,Sconosciuto,Sconosciuto,Sconosciuto,Sconosciuto,Sconosciuto,"La galassia M102 (nota anche come Oggetto Messier 102, Messier 102, o M102) è un oggetto Messier dalla natura controversa. Varie ipotesi sostengono che possa essere:
-una riosservazione accidentale della Galassia Girandola (una galassia a spirale nella costellazione dell'Orsa Maggiore);
-la Galassia Fuso, una galassia a spirale lenticolare nella costellazione del Drago, nota anche come ----NGC 5866;
-NGC 5879, una galassia vicina alla galassia Fuso, anche se non è brillante come quest'ultima;
-NGC 5928, una galassia di magnitudine apparente 14, che difficilmente sarebbe stata osservabile da parte dei compilatori del catalogo.
Nella versione più accreditata si ritiene che M102 sia un nuovo oggetto (la galassia Fuso) scoperto da Pierre Méchain, ma che Charles Messier abbia segnato erroneamente la sua posizione, facendola coincidere con quella di M101. Infatti i due oggetti sono separati da circa 5°, e Messier usava carte con griglie spaziate di 5°."
M103,NGC 581 Ammasso Freccia,Ammasso aperto,Cassiopea,"A.R. 01h 33,2min; Dec. +60° 42'",9400 a.l.,"7,4",6',15 a.l.,"M 103 (conosciuto anche come NGC 581 o, talvolta, col soprannome di Ammasso Freccia) è un ammasso aperto visibile nella costellazione di Cassiopea. M103 è uno dei più lontani ammassi aperti elencati nel Catalogo di Messier, trovandosi a circa 2880 parsec (9400 anni luce) dalla Terra, in un angolo remoto del Braccio di Perseo; esso possiede un diametro apparente di 6 minuti d'arco che, tenendo conto della distanza, corrisponde ad un diametro reale di 15 anni luce.Attraverso le misurazioni sul moto proprio sono state individuate 77 componenti fino alla quattordicesima magnitudine facenti sicuramente parte dell'ammasso (con un indice di sicurezza non inferiore all'80%), cui se ne aggiungono 151 la cui probabilità di appartenenza è inferiore; i due membri più brillanti di M103 sono una supergigante di tipo B5Ib ed una gigante di tipo B2III. Fra queste componenti sono note anche alcune stelle variabili, fra le quali due binarie a eclisse, una delle quali con un'oscillazione di oltre una magnitudine, una probabile variabile Gamma Doradus (o forse una variabile pulsante di lungo periodo di classe spettrale B (SPB)), una stella Be e una gigante rossa pulsante.M103 si avvicina al Sole ad una velocità di circa 37 km/s."
